Name of the Political Party,Prefix,Denominations,Journal Date,¶ÔÓ¦µÄlocal_node_id
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2371
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2371
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,2371
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,542
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,542
BHARATIYA JANATA PARTY,TL,1000000,15/Apr/2019,1340
BHARATIYA JANATA PARTY,TL,1000000,17/Apr/2019,3493
BHARATIYA JANATA PARTY,TL,1000000,17/Apr/2019,3493
BHARATIYA JANATA PARTY,OL,100000,17/Apr/2019,3493
BHARATIYA JANATA PARTY,OL,100000,17/Apr/2019,3493
BHARATIYA JANATA PARTY,OL,100000,17/Apr/2019,3493
BHARATIYA JANATA PARTY,OL,100000,17/Apr/2019,3493
BHARATIYA JANATA PARTY,OL,100000,17/Apr/2019,3493
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,15/Apr/2019,3000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,15/Apr/2019,3000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,15/Apr/2019,3000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,15/Apr/2019,3000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,15/Apr/2019,3000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,16/Apr/2019,207
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,16/Apr/2019,2849
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,12/Apr/2019,2058
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,12/Apr/2019,2058
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,12/Apr/2019,2058
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,421
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,421
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,421
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,421
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,421
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,1745
